#{"t_start": 1764536084.479216, "env_id": "None"}
r,l,t
-705.267224,2000,8.280364
-589.019247,2000,16.040065
-477.118138,2000,23.794005
-562.839894,2000,31.347471
-743.081254,2000,39.923386
-676.590117,2000,48.639569
-412.497146,2000,57.220276
-722.626036,2000,65.775885
-525.701485,2000,74.01503
-1397.955565,2000,81.925506
-379.928807,2000,90.717149
-486.731998,2000,98.564988
-636.068104,2000,106.542966
-1075.617839,2000,115.454575
-367.850254,2000,122.755434
-400.619645,2000,130.65495
-658.463432,2000,138.129359
-1365.035682,2000,145.662596
-806.633527,2000,154.669783
-716.816456,2000,162.963559
-741.658104,2000,172.019135
-673.886269,2000,179.400291
-913.046185,2000,186.896865
-1046.143841,2000,194.736884
-557.827822,2000,202.378041
-406.567792,2000,209.909078
-709.84355,2000,217.352215
-374.469404,2000,224.611135
-318.740501,2000,231.980784
-372.46723,2000,239.678289
-319.840673,2000,248.079777
-447.879957,2000,255.657407
-293.373972,2000,263.344023
-566.673938,2000,270.981522
-276.45337,2000,278.724305
-396.283997,2000,287.008743
-878.744754,2000,294.679183
-986.094084,2000,302.178081
-383.051008,2000,309.589805
-442.56811,2000,316.925361
-313.058231,2000,324.277992
-370.278242,2000,331.657963
-474.165616,2000,338.966431
-351.691463,2000,346.85638
-459.809964,2000,354.25378
-494.142771,2000,361.942453
-231.118257,2000,369.084171
-211.117191,2000,376.228779
-257.302121,2000,383.406462
-158.177108,2000,390.55584
-174.506229,2000,397.725101
-134.571974,2000,404.909844
-208.606502,2000,412.075581
-208.624804,2000,419.215808
-332.097742,2000,426.362887
-329.056812,2000,433.540963
-204.380902,2000,440.734101
-173.823309,2000,447.915718
-187.283551,2000,455.082103
-177.714597,2000,462.264949
-124.412555,2000,469.440219
-211.1924,2000,476.6326
-166.427621,2000,483.808648
-291.904471,2000,490.978479
-230.212262,2000,498.166596
-254.955103,2000,505.346462
-201.306663,2000,512.570245
-322.204187,2000,519.758996
-234.229379,2000,526.950395
-274.357985,2000,534.155804
-259.050615,2000,541.351602
-191.87625,2000,548.541267
-282.225072,2000,555.752211
-171.587365,2000,562.96736
-302.280877,2000,570.168793
-279.529857,2000,577.358981
-223.714882,2000,584.544755
-242.359049,2000,591.772798
-262.296407,2000,598.982158
-251.261107,2000,606.223324
-300.698672,2000,613.408487
-164.533825,2000,620.616652
-288.601627,2000,627.790779
-220.527041,2000,634.968286
-183.120475,2000,642.143027
-173.471522,2000,649.328344
-158.003062,2000,656.4904
-299.738313,2000,663.761259
-288.926623,2000,670.984328
-238.858942,2000,678.154063
-208.044105,2000,685.30822
-128.671845,2000,692.47028
-235.443438,2000,699.662733
-269.916884,2000,706.826054
-129.923784,2000,714.009769
-198.546694,2000,721.200907
-213.393535,2000,728.360272
-209.500409,2000,735.512209
-101.68581,2000,742.703866
-334.053768,2000,749.86313
-276.830738,2000,757.036067
-180.504717,2000,764.206744
-238.313979,2000,771.376523
-215.413684,2000,778.534581
-250.764857,2000,785.712446
-178.829084,2000,792.899415
-141.448547,2000,800.068948
-161.004597,2000,807.295295
-279.793778,2000,814.439273
-182.575802,2000,821.584799
-149.686672,2000,828.774756
-455.13032,2000,835.919564
-138.906347,2000,843.083437
-325.610009,2000,850.240734
-246.902472,2000,857.400133
-152.611773,2000,864.54218
-122.738689,2000,871.694966
-136.482348,2000,878.836389
-164.865101,2000,885.981596
-208.790277,2000,893.143192
-176.001055,2000,900.305441
-154.861043,2000,907.50969
-144.555769,2000,914.705419
-191.594172,2000,921.856009
-189.927774,2000,929.006967
-228.04643,2000,936.139155
-161.882471,2000,943.281143
-196.308519,2000,950.421244
-222.572547,2000,957.587555
-240.886537,2000,964.787182
-279.290709,2000,972.44041
-265.043685,2000,979.645466
-385.719325,2000,986.781138
-201.193116,2000,993.940573
-212.817836,2000,1001.071044
-245.252705,2000,1008.207153
-261.390331,2000,1015.330316
-137.04658,2000,1022.450521
-174.203637,2000,1029.581241
-262.822288,2000,1036.714953
-179.443799,2000,1043.863126
-488.294609,2000,1051.034737
-234.174521,2000,1058.154205
-105.410787,2000,1065.2822
-125.576765,2000,1072.402776
-160.48469,2000,1079.518433
-181.585763,2000,1086.628171
-182.225313,2000,1093.739
-165.459372,2000,1100.867029
-134.658782,2000,1108.007107
