#{"t_start": 1764521188.61567, "env_id": "None"}
r,l,t
-1988.196786,2000,10.123645
-1725.228756,2000,20.432305
-1252.505078,2000,30.72467
-1273.917426,2000,41.867305
-777.521867,2000,52.087388
-463.358165,2000,62.278734
-853.86268,2000,72.522811
-546.877575,2000,82.879081
-466.764812,2000,93.229693
-347.487411,2000,103.73905
-343.353662,2000,114.095286
-395.408421,2000,124.431597
-439.368222,2000,134.885394
-345.751326,2000,145.288919
-380.690318,2000,155.705543
-475.905264,2000,166.241118
-408.674127,2000,177.091881
-425.642054,2000,187.928851
-719.317321,2000,198.792792
-614.587541,2000,209.74128
-727.277244,2000,220.890075
-331.692559,2000,231.688938
-241.147608,2000,242.538017
-158.623753,2000,253.349898
-240.725644,2000,264.158795
-264.115066,2000,275.231469
-297.277353,2000,286.161557
-300.127899,2000,297.022752
-312.995313,2000,307.855273
-391.623718,2000,318.747558
-282.638668,2000,329.661498
-346.108891,2000,340.742877
-322.153418,2000,351.550002
-300.470768,2000,362.373674
-344.920871,2000,373.247707
-344.936622,2000,384.065275
-226.42813,2000,394.922066
-282.150733,2000,405.714554
-287.855586,2000,416.620071
-261.081534,2000,427.46587
-265.143997,2000,438.314051
-240.571502,2000,449.150456
-220.088241,2000,460.000149
-303.065983,2000,470.80287
-293.722673,2000,481.650581
-233.10858,2000,492.676798
-230.420779,2000,503.513955
-201.496236,2000,514.348072
-241.352191,2000,525.18126
-314.979969,2000,536.098783
-260.266978,2000,546.88875
-273.505837,2000,557.709015
-320.284545,2000,568.586743
-275.565722,2000,579.501735
-296.990604,2000,590.355907
-301.790573,2000,601.208428
-343.685556,2000,611.979828
-274.954672,2000,622.801683
-236.333898,2000,634.747037
-287.452885,2000,645.790498
-271.106831,2000,656.623385
-330.198752,2000,667.472271
-285.944213,2000,678.32034
-268.70266,2000,689.165748
-280.664106,2000,700.050829
-244.806462,2000,711.183593
-154.754243,2000,721.934615
-280.277109,2000,732.853848
-247.869872,2000,744.681799
-303.613179,2000,756.370573
-303.359052,2000,769.387826
-281.637737,2000,782.017861
-344.788002,2000,801.82147
-216.640012,2000,825.452333
-355.521391,2000,842.096418
-276.177295,2000,861.052439
-208.341034,2000,878.12817
-379.955692,2000,896.095975
-218.041621,2000,909.495115
-269.019242,2000,921.141316
-262.989143,2000,932.353593
-320.07943,2000,944.249346
-210.07487,2000,963.034645
-395.39547,2000,984.446008
-181.158996,2000,1001.190004
-248.917228,2000,1022.089199
-267.72827,2000,1033.873679
-139.846598,2000,1046.222915
-246.076507,2000,1057.789631
-217.274007,2000,1069.53736
-221.930675,2000,1086.982742
-207.988331,2000,1098.22448
-154.159972,2000,1112.426522
-240.62593,2000,1123.731241
-204.002897,2000,1137.10008
-293.482271,2000,1149.351632
-237.637455,2000,1160.851089
-290.222634,2000,1174.968595
-399.849876,2000,1186.832947
-151.042518,2000,1198.368017
-167.715156,2000,1214.258944
-223.58255,2000,1232.467232
-224.683832,2000,1249.426776
-197.781854,2000,1266.30194
-151.566932,2000,1283.289964
-279.928836,2000,1300.232118
-169.729151,2000,1316.248775
-231.041373,2000,1332.402369
-165.292638,2000,1349.166366
-169.148817,2000,1365.878634
-214.78263,2000,1382.647819
-209.353011,2000,1401.634562
-233.089141,2000,1419.593669
-149.838267,2000,1436.824914
-206.895293,2000,1454.066786
-146.808581,2000,1472.289336
-176.49031,2000,1489.23898
-198.087105,2000,1506.237946
-137.260106,2000,1523.288784
-275.516324,2000,1540.818661
-234.738498,2000,1558.03086
-151.139994,2000,1574.74355
-162.381746,2000,1591.767286
-285.671351,2000,1608.785508
-251.778798,2000,1626.036385
-266.371928,2000,1643.19894
-152.089916,2000,1660.682851
-190.258977,2000,1680.92864
-169.377224,2000,1697.7026
-209.347122,2000,1715.21181
-171.077427,2000,1732.795377
-186.05984,2000,1750.091255
-145.68403,2000,1767.588703
-183.136911,2000,1785.569943
-185.804694,2000,1802.955903
-384.636485,2000,1819.402713
-182.23968,2000,1836.32516
-152.005418,2000,1853.035084
-293.922149,2000,1870.82518
-204.521379,2000,1888.098297
-177.885471,2000,1906.107983
-156.211015,2000,1927.394867
-200.729072,2000,1944.62734
-149.146442,2000,1963.147226
-280.863209,2000,1981.452348
-149.581089,2000,2001.788903
-495.721829,2000,2021.066123
-219.572285,2000,2041.044158
-245.724204,2000,2062.122654
-191.253742,2000,2080.361866
