#{"t_start": 1764516754.59992, "env_id": "None"}
r,l,t
-1910.228135,2000,1.163659
-2147.28398,2000,1.481802
-2295.351518,2000,4.222657
-2062.167124,2000,4.518509
-1439.970502,2000,7.123673
-2008.396068,2000,7.418326
-2095.711051,2000,9.871781
-1964.938578,2000,10.148948
-1933.299948,2000,12.500924
-2567.795413,2000,12.762306
-1860.047906,2000,15.224458
-1838.017569,2000,15.565411
-2193.696288,2000,17.856929
-2064.068411,2000,18.124997
-1797.588911,2000,20.380802
-2223.928267,2000,20.641369
-1844.8733,2000,23.025716
-1970.945942,2000,23.315143
-2275.229775,2000,26.048773
-2275.676721,2000,26.344486
-1751.417472,2000,29.692447
-1846.468098,2000,30.01215
-2099.588628,2000,32.55018
-1862.607534,2000,32.866433
-1505.938017,2000,35.437362
-1549.153554,2000,35.699572
-1809.09237,2000,38.232336
-1560.381165,2000,38.524426
-1532.733222,2000,41.039412
-1447.147366,2000,41.442057
-1638.069818,2000,43.95931
-2043.594713,2000,44.252414
-1955.787971,2000,46.743389
-1530.926449,2000,47.003974
-1464.695439,2000,49.387188
-1895.285438,2000,49.646645
-1701.226518,2000,52.049366
-1609.235904,2000,52.336304
-1379.275659,2000,54.574769
-1538.905135,2000,54.833585
-1740.721619,2000,57.051633
-1905.216615,2000,57.310924
-1676.225034,2000,57.568551
-1737.359051,2000,59.778116
-2242.709458,2000,60.038704
-1550.400478,2000,62.293673
-1455.43459,2000,62.606177
-1648.569852,2000,64.889001
-1391.677754,2000,65.14881
-1257.47915,2000,67.36556
-1524.327659,2000,67.634812
-1620.499119,2000,69.90389
-1590.207641,2000,70.168301
-1490.58115,2000,72.433803
-1564.580479,2000,72.69404
-1535.831848,2000,74.912826
-1376.827486,2000,75.171768
-1565.658196,2000,77.498935
-1203.31639,2000,77.760165
-1339.365727,2000,80.192743
-1755.900834,2000,80.47566
-1400.854854,2000,82.790183
-1277.285833,2000,83.055832
-1226.485649,2000,85.321912
-1341.040325,2000,85.583095
-1299.990351,2000,87.890638
-1295.737293,2000,88.151719
-1170.853905,2000,90.451369
-1363.283392,2000,90.715502
-1285.756471,2000,93.308755
-1429.177612,2000,93.57667
-1205.825052,2000,95.92997
-1222.367252,2000,96.193107
-1196.94963,2000,98.511227
-1181.134853,2000,98.774433
-1206.034083,2000,101.611321
-1079.716939,2000,102.500003
-1108.355925,2000,106.035012
-1059.672318,2000,106.331831
-1028.023344,2000,109.007703
-960.762288,2000,109.27064
-1002.4416,2000,112.403711
-1048.685045,2000,112.668804
-932.152823,2000,115.129218
-980.217121,2000,115.41115
-1055.740321,2000,115.679462
-1029.087326,2000,118.121008
-945.634166,2000,118.466953
-938.521758,2000,120.795564
-942.760834,2000,121.058155
-822.143238,2000,123.32294
-910.30293,2000,123.583054
-891.36543,2000,125.934814
-871.365863,2000,126.195707
-921.871189,2000,128.520442
-927.489596,2000,128.798485
-921.69511,2000,131.070638
-709.053543,2000,131.330176
-744.013487,2000,133.665545
-776.148948,2000,133.928537
-697.832401,2000,136.331686
-793.899937,2000,136.59396
-683.125348,2000,138.869197
-766.149987,2000,139.130967
-628.518233,2000,141.398253
-636.083905,2000,141.660135
-626.342882,2000,144.005589
-699.794079,2000,144.267188
-637.027747,2000,146.605799
-566.450081,2000,146.866627
-661.611532,2000,149.157087
-583.59529,2000,149.419977
-531.47054,2000,151.771834
-641.608313,2000,152.033681
-525.02565,2000,154.508599
-565.344173,2000,154.802338
-543.174273,2000,157.494222
-645.435768,2000,157.816209
-596.9294,2000,160.419037
-472.587683,2000,160.701165
-482.747002,2000,163.256236
-654.247682,2000,163.534466
-545.7794,2000,165.905519
-585.4537,2000,166.1953
-482.225367,2000,168.559788
-529.887233,2000,168.825232
-556.063365,2000,171.251978
-511.013345,2000,171.520881
-467.669513,2000,171.789396
-516.156183,2000,174.299984
-446.522477,2000,174.582581
-443.61244,2000,177.23763
-503.774164,2000,177.517356
-497.824516,2000,180.323731
-473.843524,2000,180.650476
-479.555184,2000,183.507809
-425.928917,2000,183.796768
-403.659154,2000,186.304666
-403.163477,2000,186.58053
-495.740403,2000,189.038009
-455.608565,2000,189.319115
-424.532104,2000,191.745171
-489.212724,2000,192.035824
-374.803739,2000,194.571768
-363.109697,2000,194.865315
-418.599051,2000,197.379257
-467.332812,2000,197.656414
-444.443173,2000,200.098453
-363.346796,2000,200.361409
-370.768904,2000,202.731973
-422.663245,2000,202.994511
