#{"t_start": 1764535134.5489469, "env_id": "None"}
r,l,t
-596.247227,2000,5.908935
-423.985564,2000,12.020689
-853.352079,2000,18.216915
-486.415193,2000,24.381715
-401.536336,2000,30.594962
-264.264809,2000,36.768222
-234.56406,2000,42.938866
-173.045897,2000,49.159798
-128.851668,2000,56.14809
-149.919927,2000,62.820753
-180.281999,2000,69.469916
-146.969136,2000,76.112681
-265.371379,2000,82.760371
-235.139444,2000,89.429262
-339.180504,2000,96.07467
-345.824963,2000,102.700998
-285.106102,2000,109.353309
-323.942922,2000,115.757515
-177.936435,2000,122.27491
-197.960693,2000,128.868106
-339.597726,2000,135.227042
-301.798206,2000,141.380083
-250.815952,2000,147.52098
-395.547426,2000,153.661692
-405.354766,2000,159.791232
-288.089368,2000,165.922871
-327.276952,2000,172.056691
-250.157377,2000,178.192318
-238.013195,2000,184.335353
-158.620645,2000,190.480583
-172.244937,2000,196.64185
-129.007049,2000,202.824669
-246.633326,2000,208.984607
-298.914789,2000,215.124527
-195.598635,2000,221.25932
-568.705283,2000,227.39743
-615.033421,2000,233.532896
-226.298012,2000,239.671515
-116.215827,2000,245.806049
-172.24854,2000,251.943129
-159.195116,2000,258.08282
-143.33309,2000,264.230387
-157.266612,2000,270.377571
-145.213116,2000,276.53494
-181.821122,2000,282.68519
-349.544759,2000,288.828731
-376.486771,2000,294.978119
-320.293192,2000,301.124483
-374.985184,2000,307.263021
-256.491839,2000,313.416411
-220.726101,2000,319.690325
-191.761627,2000,325.840349
-188.869375,2000,332.05853
-225.598636,2000,338.220958
-203.960222,2000,344.366401
-159.462518,2000,350.517318
-206.354027,2000,356.668683
-152.162219,2000,362.817848
-60.171947,2000,368.973571
-125.96979,2000,375.118709
-105.075391,2000,381.263932
-128.873871,2000,387.40755
-195.745844,2000,393.548137
-145.697644,2000,399.685128
-164.897769,2000,405.836021
-131.228849,2000,411.989316
-127.686433,2000,418.144996
-124.472779,2000,424.301881
-143.076512,2000,430.455601
-86.719686,2000,436.612275
-120.37969,2000,442.771698
-94.437697,2000,448.93223
-123.8488,2000,455.094142
-51.619117,2000,461.255297
-74.32696,2000,467.407547
-86.529142,2000,473.56115
-122.365177,2000,479.709021
-175.594432,2000,485.859273
-90.37986,2000,492.01444
-219.852666,2000,498.164938
-173.781808,2000,504.35339
-142.448317,2000,510.506086
-124.248973,2000,516.660716
-126.782597,2000,522.810462
-161.604066,2000,528.960964
-122.035305,2000,535.109819
-179.052793,2000,541.266875
-348.005985,2000,547.42927
-334.654275,2000,553.577268
-403.767438,2000,559.724498
-516.418265,2000,565.866397
-205.073484,2000,572.014077
-202.410756,2000,578.162329
-315.043203,2000,584.307201
-211.532738,2000,590.453856
-334.17072,2000,596.608735
-375.615668,2000,602.757598
-172.877205,2000,608.913037
-411.144414,2000,615.059783
-332.725006,2000,621.208233
-149.410648,2000,627.355631
-180.30894,2000,633.496749
-212.132247,2000,639.721064
-207.453076,2000,645.870359
-364.473873,2000,652.015969
-193.32444,2000,658.174773
-99.187909,2000,664.331722
-105.430927,2000,670.496213
-239.72158,2000,676.639259
-253.440038,2000,682.786295
-345.452805,2000,688.934625
-286.358769,2000,695.075736
-170.782688,2000,701.220448
-610.281558,2000,707.363256
-116.882973,2000,713.534469
-148.262273,2000,719.686783
-210.037603,2000,725.980725
-154.29311,2000,732.716619
-177.044497,2000,739.282096
-119.670364,2000,745.875893
-137.67627,2000,752.526511
-238.604447,2000,759.206205
-203.762091,2000,765.735807
-204.852514,2000,772.840232
-270.840839,2000,780.258756
-399.634134,2000,787.040192
-400.971365,2000,793.764276
-192.76731,2000,801.045067
-145.20725,2000,807.598519
-154.480268,2000,814.13955
-183.248105,2000,822.283437
-156.263668,2000,828.619859
-132.201959,2000,835.401871
-214.736357,2000,841.942819
-206.798276,2000,848.204276
-154.060203,2000,854.494776
-180.530976,2000,860.751525
-219.246027,2000,867.902182
-214.699182,2000,874.146691
-247.025644,2000,880.723551
-152.123455,2000,887.902384
-247.191919,2000,894.275224
-182.989721,2000,900.820346
-116.635716,2000,907.151073
-205.914749,2000,913.469245
-190.839095,2000,919.777566
-172.697022,2000,926.909963
-222.305243,2000,934.115209
-205.522648,2000,941.334667
-153.208646,2000,949.617572
