#{"t_start": 1764520137.662962, "env_id": "None"}
r,l,t
-638.83289,2000,6.878768
-610.407695,2000,13.751026
-402.671415,2000,20.561967
-670.365433,2000,27.464509
-550.75012,2000,34.264497
-653.779492,2000,41.120199
-650.891267,2000,47.931573
-688.672964,2000,54.98099
-335.652961,2000,61.882386
-479.909587,2000,68.736028
-794.7235,2000,75.693502
-618.986118,2000,82.689557
-271.755203,2000,89.629886
-281.421285,2000,96.550434
-553.402295,2000,103.531984
-462.268355,2000,110.507156
-314.222021,2000,117.586295
-606.036146,2000,124.595781
-741.949369,2000,131.593065
-508.626419,2000,138.540914
-568.467897,2000,145.512424
-494.531909,2000,152.504486
-420.174938,2000,159.482274
-295.700749,2000,166.438297
-450.843436,2000,173.406607
-429.291656,2000,180.430977
-394.530638,2000,187.534539
-399.66244,2000,194.543513
-673.850591,2000,201.464577
-345.676868,2000,208.391924
-224.245444,2000,215.325265
-266.477153,2000,222.249255
-226.313202,2000,229.210267
-256.059438,2000,236.142911
-322.528549,2000,243.071153
-258.889812,2000,249.991562
-194.095133,2000,257.069979
-371.805367,2000,264.028058
-286.63049,2000,271.070106
-309.406724,2000,278.000411
-192.449934,2000,284.969181
-266.164039,2000,292.030951
-313.364619,2000,298.982596
-224.499895,2000,305.969012
-337.33506,2000,312.916226
-253.389704,2000,319.845706
-393.483528,2000,326.802009
-207.630121,2000,333.750554
-207.057104,2000,340.846346
-258.987702,2000,347.851459
-222.600007,2000,354.778366
-242.81178,2000,361.76611
-180.067255,2000,368.713158
-281.323286,2000,375.664313
-228.668373,2000,382.639609
-279.760419,2000,389.595653
-519.525384,2000,396.542801
-229.941248,2000,403.50928
-161.793297,2000,410.448005
-351.615732,2000,417.566512
-172.297441,2000,424.612563
-251.939752,2000,431.568333
-180.077475,2000,438.56225
-267.92368,2000,445.572242
-266.363579,2000,452.556531
-335.725778,2000,459.553663
-153.10782,2000,466.557404
-188.3523,2000,473.554474
-177.551324,2000,480.608445
-251.882117,2000,488.440577
-252.379629,2000,495.428868
-198.616147,2000,502.403789
-233.919342,2000,509.378794
-150.531056,2000,516.333816
-140.511004,2000,523.334076
-214.624036,2000,530.311958
-175.328613,2000,537.305944
-192.971637,2000,544.238315
-167.93141,2000,551.211149
-242.636664,2000,558.187338
-157.667436,2000,565.148173
-297.733147,2000,572.127528
-215.609019,2000,579.133051
-197.735378,2000,586.140918
-210.444631,2000,593.119848
-343.354082,2000,600.123101
-239.028081,2000,607.088059
-231.411706,2000,614.080589
-205.182171,2000,621.059049
-177.821439,2000,628.204726
-285.38051,2000,635.549034
-160.206747,2000,643.053614
-96.29848,2000,650.045484
-153.094348,2000,657.019543
-115.987474,2000,664.280128
-272.235891,2000,671.350858
-134.32234,2000,678.378335
-84.052161,2000,685.415674
-118.549234,2000,692.445659
-166.761704,2000,699.451305
-58.037464,2000,706.473637
-106.645968,2000,713.508641
-117.040575,2000,720.676581
-161.510318,2000,727.69584
-134.244398,2000,734.685843
-107.044264,2000,741.675485
-269.379928,2000,748.700861
-103.764089,2000,755.689577
-87.271131,2000,763.123769
-95.93195,2000,770.115017
-441.901329,2000,777.135058
-105.01018,2000,784.136885
-68.760239,2000,791.172368
-147.90473,2000,798.165855
-148.97187,2000,805.200152
-128.284623,2000,812.19257
-131.250632,2000,819.203585
-91.226744,2000,826.223897
-103.62719,2000,833.221072
-89.475292,2000,840.261979
-230.469289,2000,847.260896
-85.994073,2000,854.257653
-111.178334,2000,861.299761
-171.121935,2000,868.279423
-148.71391,2000,875.290631
-171.035214,2000,882.273571
-441.173222,2000,889.302783
-379.398977,2000,896.4603
-215.831078,2000,903.604328
-192.446078,2000,910.876117
-443.573815,2000,917.875602
-215.364572,2000,924.870244
-197.071192,2000,931.801448
-189.166813,2000,938.773939
-171.258999,2000,945.706306
-178.663067,2000,952.685897
-201.797341,2000,959.657972
-168.764416,2000,966.650703
-313.246357,2000,973.649172
-504.136852,2000,980.621913
-357.066967,2000,987.626096
-197.317992,2000,994.603955
-172.469551,2000,1001.56673
-159.457938,2000,1008.50735
-138.728895,2000,1015.462
-226.603904,2000,1022.709803
-149.654329,2000,1029.692923
-285.010879,2000,1036.72164
-193.643435,2000,1043.700857
-235.14694,2000,1050.694225
