#{"t_start": 1764534957.072163, "env_id": "None"}
r,l,t
-3677.450211,2000,0.29752
-4219.54449,2000,0.553151
-4043.007594,2000,2.70007
-4652.979503,2000,2.955883
-4462.599565,2000,5.02573
-4340.902254,2000,5.278726
-4125.966711,2000,7.362044
-4312.923067,2000,7.619808
-3934.301379,2000,9.71227
-4060.866083,2000,9.966156
-3329.126627,2000,12.12306
-3810.818704,2000,12.403235
-4070.807434,2000,14.634794
-3298.156022,2000,14.91368
-3743.588267,2000,17.163803
-3643.697475,2000,17.441972
-3774.627493,2000,19.644912
-3686.969316,2000,19.914988
-3962.136352,2000,22.105618
-4006.689688,2000,22.35608
-4066.581531,2000,24.462328
-3831.596904,2000,24.732043
-3600.582797,2000,26.824081
-4093.375584,2000,27.079824
-3835.130858,2000,29.157784
-3675.498651,2000,29.414316
-3648.066751,2000,31.492723
-3315.891981,2000,31.750663
-3413.279847,2000,33.81986
-3204.681888,2000,34.076228
-3360.209177,2000,36.151037
-4224.522642,2000,36.404989
-3795.818094,2000,38.47878
-3649.442291,2000,38.735306
-3841.275037,2000,40.807689
-3160.981509,2000,41.063913
-3820.348612,2000,43.148222
-3524.269309,2000,43.405454
-3385.983109,2000,45.48971
-3312.542438,2000,45.743577
-3797.004732,2000,47.823261
-3248.919278,2000,48.077943
-3611.98397,2000,48.330294
-3242.652556,2000,50.401141
-3510.616048,2000,50.656269
-3415.42075,2000,52.7372
-3869.081968,2000,52.992713
-2968.005536,2000,55.088578
-3352.679795,2000,55.339263
-3413.584808,2000,57.493393
-3424.636186,2000,57.754466
-3514.459837,2000,59.925248
-3005.494917,2000,60.198844
-2926.46422,2000,62.486964
-2642.078868,2000,62.770671
-3110.394207,2000,65.024365
-3005.621928,2000,65.285747
-3438.912448,2000,67.530695
-3118.148353,2000,67.78875
-2750.549959,2000,69.894741
-2977.673003,2000,70.148861
-3147.794967,2000,72.348395
-2974.809659,2000,72.628086
-2885.706327,2000,74.905262
-3174.053919,2000,75.185549
-3075.415306,2000,77.453537
-2704.671851,2000,77.711776
-2585.121955,2000,79.9494
-2786.662484,2000,80.205635
-2658.152225,2000,82.300726
-2580.679149,2000,82.569064
-2373.354733,2000,84.678301
-2493.050012,2000,84.936091
-2548.865213,2000,87.039122
-2769.711706,2000,87.294915
-2743.792975,2000,89.403876
-2601.618804,2000,89.662055
-2478.779673,2000,91.779112
-2522.506611,2000,92.037561
-2320.284127,2000,94.14596
-2486.0194,2000,94.401787
-2220.653168,2000,96.468636
-2363.71962,2000,96.723932
-2289.31654,2000,98.789545
-2147.880602,2000,99.046684
-1970.487764,2000,99.302814
-2095.563834,2000,101.370998
-2093.635476,2000,101.620712
-1892.817591,2000,103.697851
-1829.121436,2000,103.959171
-1801.448311,2000,106.034165
-1734.324012,2000,106.286773
-1662.572645,2000,108.357635
-1826.269294,2000,108.60748
-1558.853087,2000,110.674722
-1619.765461,2000,110.927284
-1534.957004,2000,112.998641
-1465.067187,2000,113.25389
-1532.826985,2000,115.32301
-1415.590188,2000,115.578166
-1281.774835,2000,117.654455
-1326.945347,2000,117.910881
-1177.697811,2000,119.969439
-1238.319606,2000,120.222902
-1193.031327,2000,122.310867
-1168.707221,2000,122.570927
-1150.465792,2000,124.644864
-1092.409068,2000,124.900518
-1027.753909,2000,126.972449
-983.179512,2000,127.227505
-1072.011455,2000,129.289294
-983.988584,2000,129.542538
-948.023749,2000,131.610791
-884.789166,2000,131.861224
-874.736499,2000,133.931293
-895.839081,2000,134.20083
-816.383507,2000,136.272966
-897.274545,2000,136.528047
-720.429693,2000,138.663951
-891.911916,2000,138.945902
-653.835665,2000,141.194604
-756.769223,2000,141.471353
-687.153762,2000,143.694363
-771.67605,2000,143.961223
-821.935801,2000,146.164091
-626.826011,2000,146.435858
-769.320786,2000,148.582656
-640.791145,2000,148.856119
-695.490869,2000,149.136251
-652.976923,2000,151.418465
-712.808201,2000,151.695788
-688.111317,2000,153.952334
-514.058144,2000,154.212348
-546.969875,2000,156.431385
-673.52598,2000,156.695686
-638.788422,2000,158.781362
-623.576715,2000,159.038226
-547.602906,2000,161.110782
-760.202058,2000,161.365101
-531.435824,2000,163.43545
-610.851907,2000,163.691739
-575.43229,2000,165.760787
-536.623073,2000,166.011605
-499.348901,2000,168.090916
-555.107793,2000,168.345746
-524.37868,2000,170.426434
-569.41942,2000,170.682975
-472.585573,2000,172.748908
-509.062839,2000,173.00374
-444.364868,2000,175.07057
-462.377018,2000,175.322679
