#{"t_start": 1764534774.4036329, "env_id": "None"}
r,l,t
-2218.559219,2000,0.327657
-1870.816823,2000,0.593207
-1723.672981,2000,2.731511
-2148.862352,2000,2.988998
-2360.090315,2000,5.187796
-2225.681412,2000,5.456777
-1958.568985,2000,7.781838
-1684.148873,2000,8.046675
-2099.624539,2000,10.309134
-1955.548489,2000,10.573097
-1769.257088,2000,12.759647
-1872.457553,2000,13.055961
-1851.00462,2000,15.835319
-1804.417292,2000,16.126309
-1738.046588,2000,18.470934
-2035.433653,2000,18.760455
-1700.91532,2000,21.065252
-2010.838692,2000,21.339507
-1721.833188,2000,23.43173
-1476.183079,2000,23.692021
-1767.706492,2000,25.850506
-2076.795776,2000,26.114958
-1713.555634,2000,28.297676
-1570.378787,2000,28.561157
-1937.446533,2000,30.712199
-1816.435094,2000,30.978383
-1521.446587,2000,33.120409
-1851.956507,2000,33.380724
-1560.03941,2000,35.543496
-1629.816495,2000,35.816172
-2155.050616,2000,38.005668
-1676.039562,2000,38.273346
-1529.293929,2000,40.405771
-1911.86322,2000,40.684696
-1873.280957,2000,42.810299
-1539.915722,2000,43.069126
-1923.274345,2000,45.181668
-1804.015755,2000,45.45913
-1658.108739,2000,47.58809
-1506.586189,2000,47.847103
-2014.83753,2000,49.961246
-1560.862501,2000,50.220875
-1545.618568,2000,50.483044
-1325.536713,2000,52.609743
-1561.630596,2000,52.869272
-1437.740798,2000,55.333598
-1558.665173,2000,55.603608
-1379.119125,2000,57.975941
-1434.698565,2000,58.269923
-1658.468874,2000,60.455322
-1617.491581,2000,60.767773
-1616.372997,2000,62.971285
-1484.92427,2000,63.231739
-1475.207212,2000,65.630559
-1540.085079,2000,65.906478
-1577.7671,2000,68.264049
-1642.754926,2000,68.542157
-1284.851367,2000,70.65383
-1585.933143,2000,70.910178
-1381.384713,2000,73.181912
-1464.830133,2000,73.442883
-1347.87828,2000,75.705991
-1329.195369,2000,75.998248
-1126.600133,2000,78.447759
-1350.877022,2000,78.729773
-1205.557736,2000,81.135715
-1276.964014,2000,81.583457
-1327.674839,2000,83.795907
-1285.208902,2000,84.060027
-1238.597499,2000,86.23125
-1135.410957,2000,86.511602
-1308.377901,2000,88.742911
-1371.083265,2000,89.005931
-1175.973655,2000,91.205356
-1217.408199,2000,91.466962
-1238.562988,2000,93.831922
-1139.816368,2000,94.101266
-1254.564286,2000,96.447128
-1084.748571,2000,96.705781
-1137.244638,2000,98.891082
-1000.295728,2000,99.21584
-1225.981498,2000,101.507618
-1037.993869,2000,101.766823
-1045.535917,2000,104.088068
-1006.040311,2000,104.370482
-1077.693851,2000,104.642621
-1002.118014,2000,106.74075
-983.930524,2000,107.000881
-1030.444992,2000,109.10601
-1061.885606,2000,109.363128
-1011.569239,2000,111.474872
-1010.107913,2000,111.735712
-968.228108,2000,113.843663
-989.929667,2000,114.104026
-984.398781,2000,116.215071
-991.898807,2000,116.475984
-870.602326,2000,118.58542
-877.727972,2000,118.840429
-921.016239,2000,121.00249
-945.608219,2000,121.259897
-911.189993,2000,123.376774
-845.680314,2000,123.632314
-860.363727,2000,125.738992
-903.602925,2000,125.994132
-832.656768,2000,128.099495
-881.342161,2000,128.354285
-838.611808,2000,130.452685
-810.358257,2000,130.71185
-813.994577,2000,132.81274
-830.049317,2000,133.072833
-817.91439,2000,135.185459
-862.751045,2000,135.43967
-715.307384,2000,137.54673
-774.93645,2000,137.804677
-722.378862,2000,139.909894
-746.925141,2000,140.165227
-798.882145,2000,142.249214
-723.45677,2000,142.503022
-787.866684,2000,144.600745
-693.71826,2000,144.857891
-659.87122,2000,146.947688
-713.327528,2000,147.202465
-624.606732,2000,149.307716
-627.693565,2000,149.56757
-611.709423,2000,151.664971
-624.902957,2000,151.921624
-539.528434,2000,154.012633
-647.693176,2000,154.271386
-576.468985,2000,154.529287
-532.233622,2000,156.631312
-568.796815,2000,156.886657
-588.969781,2000,159.000623
-563.603079,2000,159.257074
-585.622862,2000,161.36972
-507.197863,2000,161.631822
-494.630699,2000,163.730075
-552.877835,2000,163.986282
-474.264069,2000,166.085187
-472.562706,2000,166.339465
-466.155702,2000,168.436211
-508.229792,2000,168.691451
-443.402706,2000,170.791182
-489.392,2000,171.043814
-480.039972,2000,173.142702
-478.210512,2000,173.402881
-458.761468,2000,175.496785
-416.918601,2000,175.75086
-431.346243,2000,177.847266
-404.212359,2000,178.101504
-458.517683,2000,180.192388
-397.403142,2000,180.451944
