#{"t_start": 1764541158.69772, "env_id": "None"}
r,l,t
-1771.522772,2000,9.858767
-1615.079743,2000,20.306826
-1719.469965,2000,30.723917
-1284.602504,2000,41.131392
-1063.178772,2000,51.595048
-526.612728,2000,62.031171
-435.657289,2000,72.447972
-377.522625,2000,82.85757
-455.826907,2000,93.292219
-323.694147,2000,103.751527
-357.600099,2000,114.231551
-330.000413,2000,124.684923
-289.89252,2000,135.149752
-450.777813,2000,145.618417
-574.477244,2000,156.083268
-335.180249,2000,166.508971
-208.074066,2000,176.958943
-221.049193,2000,187.407556
-282.62617,2000,197.905864
-223.601343,2000,208.369292
-346.531347,2000,218.888216
-241.301642,2000,229.303518
-335.609473,2000,239.746247
-209.636006,2000,250.205192
-185.25625,2000,260.635182
-212.161343,2000,271.128521
-250.565257,2000,281.551294
-352.710399,2000,291.96688
-273.831147,2000,302.388503
-352.220662,2000,312.793158
-382.252817,2000,323.203589
-304.103355,2000,333.660719
-203.305741,2000,344.105793
-232.868504,2000,354.592111
-240.047847,2000,365.039681
-221.634871,2000,375.466986
-239.298532,2000,385.911918
-211.551316,2000,396.398252
-196.941838,2000,406.814228
-193.418403,2000,417.223297
-345.826047,2000,427.687597
-200.143609,2000,438.119371
-198.306583,2000,448.524054
-320.21645,2000,458.976234
-189.760977,2000,469.407268
-212.750315,2000,479.822319
-324.57017,2000,490.235568
-204.822355,2000,500.702029
-291.127729,2000,511.150479
-286.522401,2000,521.626141
-213.055911,2000,532.121053
-258.553777,2000,542.547845
-209.422644,2000,552.974123
-265.731276,2000,563.378767
-205.914979,2000,573.873909
-282.571953,2000,584.273279
-330.183535,2000,594.682736
-251.546737,2000,605.10463
-197.376775,2000,615.52514
-164.123306,2000,625.950053
-143.751673,2000,636.372375
-214.509106,2000,646.787299
-189.349371,2000,657.239935
-156.341953,2000,667.682383
-231.497259,2000,678.185624
-243.924639,2000,688.641816
-237.616817,2000,699.124477
-173.157252,2000,709.539917
-170.377596,2000,720.008108
-234.161854,2000,730.49315
-176.205933,2000,740.937863
-214.222434,2000,751.382671
-195.828124,2000,761.919394
-159.876256,2000,772.34538
-233.863781,2000,782.835372
-211.820283,2000,793.275154
-186.319284,2000,803.743818
-151.151278,2000,814.204722
-148.562875,2000,824.626319
-207.011873,2000,835.047362
-228.503809,2000,845.511748
-200.650608,2000,855.961671
-205.829926,2000,866.408705
-158.568889,2000,876.851373
-131.169155,2000,887.339625
-172.312528,2000,897.768468
-189.792641,2000,908.219431
-235.437445,2000,918.66167
-237.567625,2000,929.11839
-202.147572,2000,939.57683
-190.032234,2000,950.030481
-133.810742,2000,960.523836
-194.623037,2000,971.000868
-166.562354,2000,981.439711
-199.92647,2000,991.909166
-179.849133,2000,1002.390843
-205.782428,2000,1012.849593
-199.952527,2000,1023.322559
-155.168169,2000,1033.813848
-224.568367,2000,1044.284237
-209.286034,2000,1054.763884
-208.361847,2000,1065.204449
-159.163351,2000,1075.648238
-229.09075,2000,1086.084406
-182.114139,2000,1096.512361
-166.577537,2000,1107.010224
-227.574396,2000,1117.465725
-249.373362,2000,1127.921659
-219.856916,2000,1138.364574
-165.067144,2000,1148.80963
-156.650234,2000,1159.252254
-216.731495,2000,1169.718672
-248.803801,2000,1180.452593
-165.993114,2000,1190.969768
-157.167208,2000,1201.445236
-204.497366,2000,1211.91253
-148.104668,2000,1222.387534
-173.567477,2000,1232.867346
-187.812168,2000,1243.338332
-188.471248,2000,1253.86215
-194.583718,2000,1264.349453
-125.004261,2000,1274.770054
-173.637499,2000,1285.19985
-206.838069,2000,1295.667862
-169.296951,2000,1306.106687
-194.451348,2000,1316.519895
-174.829256,2000,1326.955996
-167.235969,2000,1337.412266
-245.564349,2000,1347.83515
-188.95845,2000,1358.255022
-167.080216,2000,1368.667287
-183.762081,2000,1379.077686
-201.817382,2000,1389.50664
-127.179472,2000,1399.88931
-161.404094,2000,1410.3095
-265.813262,2000,1420.74941
-166.784271,2000,1431.137529
-179.11769,2000,1441.53869
-151.281527,2000,1451.936303
-183.56592,2000,1462.337584
-168.909391,2000,1472.730959
-206.942722,2000,1483.118511
-191.63446,2000,1493.545606
-135.632115,2000,1503.925384
-187.682399,2000,1514.446794
-189.921417,2000,1524.828424
-247.234521,2000,1535.210766
-181.403693,2000,1545.603626
-253.4676,2000,1555.989948
-162.565044,2000,1566.430899
